Caffeine_Intake,Reaction_Time,Cognitive_Score
419,316.37,60.19
164,541.05,26.95
394,245.74,69.11
58,334.47,86.9
275,259.64,68.78
348,375.94,55.68
380,451.21,73.55
391,225.99,46.62
163,455.79,39.52
499,244.44,71.48
204,417.14,64.8
136,469.98,63.0
403,211.57,81.08
306,285.02,83.28
20,358.19,77.8
400,247.54,64.79
345,303.58,80.35
446,385.05,57.4
210,378.32,74.05
0,525.65,31.94
436,306.27,77.59
170,459.92,27.2
299,418.53,49.62
280,443.9,57.87
170,454.93,60.53
8,284.49,79.93
119,336.07,83.96
238,300.41,52.27
363,461.22,22.22
356,200.43,100.0
299,373.51,81.87
304,304.63,79.7
60,483.92,63.35
361,592.58,22.92
465,474.02,50.7
125,583.25,40.74
403,579.99,46.12
5,528.78,37.22
86,487.3,16.41
466,350.14,36.62
455,391.9,46.78
375,367.95,66.93
470,578.04,16.61
173,340.51,68.54
493,359.4,50.04
204,258.17,69.89
0,298.04,100.0
479,343.94,52.65
164,492.06,65.96
415,221.11,74.7
359,364.46,81.43
59,362.99,70.72
144,502.59,27.1
176,213.01,100.0
280,274.65,81.82
397,504.33,43.51
380,418.82,63.6
356,360.31,68.63
407,497.61,12.57
410,307.33,57.88
234,398.09,60.27
231,384.02,77.73
240,543.86,43.06
306,486.58,24.38
424,283.81,63.77
33,314.85,62.42
395,520.18,13.35
49,304.12,93.98
241,579.59,21.48
234,206.72,92.02
51,252.37,100.0
153,334.0,63.57
167,403.15,74.02
241,499.98,45.35
158,211.99,77.71
455,265.75,77.26
467,368.14,51.15
332,368.89,56.78
468,526.9,46.47
55,270.3,85.3
389,521.43,13.87
171,321.03,81.12
130,352.81,61.2
244,598.21,41.12
227,505.99,38.88
392,217.09,93.93
105,340.68,90.67
89,485.35,27.78
9,388.46,63.08
192,476.18,28.2
247,256.4,86.48
302,572.24,55.84
135,434.79,37.18
148,256.17,78.2
104,380.26,27.99
494,494.88,19.89
330,239.76,88.19
21,424.75,47.39
477,326.05,92.67
221,447.05,50.52
34,295.35,81.49
49,583.89,43.46
425,277.29,72.78
442,236.31,83.12
443,293.37,67.19
419,361.38,59.74
452,273.59,72.91
135,234.59,74.9
57,367.84,84.95
173,567.99,41.92
315,524.22,38.18
492,377.91,50.12
121,496.83,26.28
334,565.22,31.92
304,415.6,19.6
473,580.64,0.0
428,540.01,21.99
485,407.14,73.09
463,277.74,96.2
13,455.21,36.12
317,329.28,74.28
300,245.86,76.82
376,346.12,63.34
122,295.79,74.56
310,472.68,34.02
307,597.16,9.83
87,522.36,54.2
9,569.94,58.98
225,327.02,71.15
361,407.28,56.2
57,487.33,48.04
226,496.5,31.23
13,390.52,67.8
347,329.22,63.59
453,440.38,37.14
34,282.44,96.95
368,278.03,60.6
317,434.4,70.81
422,319.68,73.93
181,265.4,90.8
47,226.69,83.68
412,566.53,49.84
97,407.29,25.93
20,559.88,62.24
497,413.56,49.18
101,448.76,64.64
56,510.19,68.65
389,297.35,61.46
438,252.97,68.53
444,235.98,84.29
306,271.32,70.31
291,477.05,51.97
31,378.9,48.73
438,318.22,63.25
285,377.86,70.92
210,496.06,8.42
359,231.9,100.0
94,434.08,40.97
448,429.83,68.2
278,242.99,83.89
18,364.0,69.77
390,315.47,72.07
70,268.15,92.11
301,243.6,76.98
496,433.73,54.49
172,213.19,83.23
203,534.78,56.11
461,465.01,54.28
181,473.85,34.85
348,281.91,56.1
250,335.55,63.82
123,410.14,48.38
206,584.62,41.04
247,363.8,68.83
430,489.77,31.22
92,353.8,49.44
251,264.16,67.65
150,508.4,65.92
96,406.06,72.55
478,586.22,23.39
228,518.87,37.16
163,509.4,41.49
190,516.17,34.52
45,472.71,43.57
130,382.75,74.51
413,414.76,51.11
313,591.98,20.03
381,433.08,72.4
462,313.53,91.06
235,470.23,28.68
349,311.93,64.53
208,289.83,77.28
215,488.11,42.4
169,398.39,58.72
129,367.94,53.8
498,296.43,59.23
